Population Tertile,Litter Density (count/m2)
"Upper (36,568 – 77,275 persons/sq km)",4.22
"Middle (13,910 – 36,568 persons/sq km)",2.31
"Lower (740 – 13,910 persons/sq km)",3.11
City Average,3.21
