Population Tertile,Litter Density (count/m2)
"Upper (5,333 — 24,081 persons/sq km)",1.87
"Middle (557 — 5,333 persons/sq km)",1.43
Lower (0 — 557 persons/sq km),3.04
City Average,2.11
