Product,Average Weight of Plastic Packaging (g),Average Quantity of Product (g)
Beverages,22.92580645,389.3010753
Candy,2.393548387,22.92580645
Chips,3.511827957,36.96595745
Other Snacks,2.742857143,65.948
Personal Care,,
Popsicles,5.427777778,96.5
Tobacco,7.754098361,16.98360656
Wafer/Biscuit,,
Yogurt,9.214285714,217.1428571
