Population Tertile,Litter Density (count/m2)
"Lower (0 — 9,262 persons/sq km)",0.96
"Middle (9,262 — 20,670 persons/sq km)",1.27
"Upper (20,670 — 85,724 persons/sq km)",1.01
City Average,1.08
