 ,Distance Store to Parent Company (km), , , ,Distance Store to Manufacturer (km), , , 
 ,Minimum,Maximum,Average,Median,Minimum,Maximum,Average,Median
Beverages,13,19862,12856,17554,15,8743,1052,69
Biscuits,286,10318,2035,1244,13,10320,892,526
Candy,10,19537,10055,9956,11,8827,1599,776
Chips/Snacks,6,22329,8686,1755,6,3001,1391,1108
Tobacco Products,1755,8944,3552,1755,427,1232,628,427
