Material ,Percent
Hard Plastic (PP),
Hard Plastic (PET),
Hard Plastic ,41
Paper,
PS,
Expanded PS,
Paper & Plastic,
Single-layer Plastic Film,
HDPE,
Aluminum,16
Multilayer Plastic,
Natural Fibers/Plant Material,8
LDPE,
Wood,
Compostable Plastic,7
PLA,
Wax Paper,
Coated Paper,23
Biodegradable Plastic,2
Aluminum & Paper,
Aluminum,
Glass,2
Oxo-degradable Plastic,1
Steel,
Cardboard ,7
