Population Tertile,Litter Density (count/m2)
"Upper (3,537 — 21,860 persons/sq km)",2.46
"Middle (1,135 — 3,536 persons/sq km)",1.48
"Lower (1 — 1,134 persons/sq km)",3.79
City Average,2.58
