Litter Item,Total Item Count
Plastic Food Wrapper,1030
Cigarettes,688
Film Fragments,477
Food Waste,212
Foam Fragments,210
Hard Plastic Fragments,200
Aggregate & Brick,194
Straws,163
Plastic Grocery Bag,156
Glass or Ceramic Fragments,148
