Population Tertile,Litter Density (count/m2)
"High (40,939 — 61,408 persons/sq km)",1.58
"Medium (20,470 — 40,938 persons/ sq km)",4.49
"Low (0 — 20,469 persons 1km square person)",3.28
City Average,3.12
