Litter Item,Total Item Count
Cigarettes,1693
Plastic Food Wrapper,1071
Film Fragments,531
Building Materials,423
Lumber,415
Paper,276
Hard Plastic Fragments,224
Plastic Grocery Bag,215
Food Waste,203
Cigarette Packaging,202
