Stakeholder Group,Number of Interviews
Convenience Store Owners,4
Food Vendors,4
NGOs,4
Government Officials,3
Informal Recycling Aggregators,3
Academics,2
Plastic Manufacturing Company,1
Plastic Alternatives Company,1
Waste Management Company,1
