Population Tertile,Litter Density (count/m2)
"Upper (2,609 – 29,469 persons/sq km)",1.81
"Middle (621 – 2,608 persons/sq km)",0.99
Lower (49 – 620 persons/sq km),1.1
City Average,1.3
