Litter Item,Total Item Count
Cigarettes,880
Plastic Food Wrapper,322
Hard Plastic Fragments,124
Straws,114
Other Fragments,93
Paper,89
Other Plastic Bag,78
Other Paper,77
Plastic Bottle,76
Face Masks,73
