 ,Distance Store to Parent Company (km), , , ,Distance Store to Manufacturer (km), , , 
 ,Minimum,Maximum,Average,Median,Minimum,Maximum,Average,Median
Beverages,195,12470,4227,243,103,2388,548,198
Candy,178,26753,13904,13045,178,5213,2625,2316
Chips,0,26753,7519,1252,0,667,162,97
Tobacco Products,12514,14035,13275,13275,1839,3488,2663,2663
